abugida,abugida,abugidas,1
accrete,accrete,accreting,1
accrete,accreting,accreted,1
abrogate,abrogated,abrogation,1
acyltransferase,acyltransferase,acyltransferases,0.666666667
abomination,abominationes,abomination,0.666666667
abut,abuts,abutting,0.666666667
abjad,abjads,abjad,0.666666667
academician,academicians,academician,0.571428571
aberration,aberrations,aberration,0.5
adapter,adapters,adapter,0.5
actor,actors,actor,0.498402556
abridge,abridged,abridges,0.4
absolve,absolve,absolved,0.4
acoustic,acoustically,acoustical,0.4
abstraction,abstraction,abstractions,0.333333333
acceleration,acceleration,accelerations,0.285714286
acid,acid,acids,0.246153846
accelerator,accelerators,accelerator,0.222222222
abduct,abductors,abducted,0.222222222
abbot,abbots,abbot,0.210526316
activate,activator,activating,0.2
accredit,accrediting,accredited,0.19047619
activist,activist,activists,0.1875
accumulate,accumulate,accumulated,0.181818182
accompaniment,accompaniments,accompaniment,0.181818182
abbreviation,abbreviations,abbreviation,0.181818182
accredit,accreditation,accrediting,0.166666667
accept,accept,accepted,0.156862745
adapt,adaption,adapt,0.153846154
accent,accent,accented,0.153846154
activity,activities,activity,0.149779736
action,action,actions,0.149152542
accident,accident,accidents,0.144927536
activate,activating,activate,0.142857143
abrupt,abrupt,abruptly,0.142857143
abolition,abolition,abolitionism,0.125
acquire,acquiring,acquire,0.125
acre,acres,acre,0.12345679
acquisition,acquisitions,acquisition,0.121212121
accuse,accusing,accuses,0.117647059
accompany,accompanying,accompany,0.117647059
access,access,accessed,0.115107914
adaptation,adaptations,adaptation,0.114285714
abbey,abbey,abbeys,0.111111111
actress,actress,actresses,0.106060606
activate,activates,activation,0.105263158
add,add,added,0.104089219
acronym,acronym,acronyms,0.095238095
accommodate,accommodated,accommodate,0.095238095
acoustic,acoustical,acoustic,0.093023256
acclaim,acclaim,acclaimed,0.093023256
address,addressing,address,0.089285714
accurate,accurately,accurate,0.085106383
acid,acids,acidic,0.083333333
accomplishment,accomplishment,accomplishments,0.08
address,address,addressed,0.076923077
account,accounts,accounting,0.071428571
accusation,accusations,accusation,0.068965517
achievement,achievements,achievement,0.068965517
acknowledge,acknowledged,acknowledges,0.066666667
accidental,accidentally,accidental,0.06557377
add,adds,add,0.063157895
acute,acutely,acute,0.0625
act,acted,act,0.062256809
account,accounted,accounts,0.057971014
abuse,abuse,abused,0.05
achieve,achieving,achieved,0.049180328
academy,academy,academies,0.04040404
address,addressed,addresses,0.04
additional,additional,additionally,0.039473684
addition,additions,addition,0.035714286
achieve,achieves,achieve,0.034482759
accessible,accessible,accessibility,0.034482759
absolute,absoluter,absolute,0.033333333
adapt,adaptive,adapted,0.023529412
add,adding,adds,0.020408163
actual,actualized,actual,0.02
accept,accepted,accepting,0.017094017
access,accessed,accessing,0.014388489
access,accessor,access,0.013422819
academic,academically,academic,0.010869565
